Designator,Footprint,Quantity,Value,LCSC Part #
ANT,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Antenna_Shield,
"C1, C14, C15, C16, C17, C20, C26, C35, C4, C41",0603,10,1uF,
"C10, C11, C8, C9",0805,4,10uF,
"C12, C23, C29, C38",0603,4,8p2,
"C18, C19, C21, C24, C6",0603,5,100n,
C22,0603,1,100nF,
"C25, C30, C40, C7",0603,4,2n2,
"C28, C31",0805,2,1uF,
C3,0603,1,33p,
"C34, C39",0603,2,270p,
C5,0603,1,2p7,
D1,SOT-23W,1,BAV99,
"D2, D3, D4, D5",1210,4,LED,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J2,PinSocket_1x05_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x05,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Headphones,
J5,PinHeader_1x07_P2.54mm_Vertical,1,DISP LEFT,
J6,PinHeader_1x07_P2.54mm_Vertical,1,DISP RIGHT,
"J7, J9",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,0603,1,18nH,
L2,0603,1,BEAD,
L3,0603,1,120nH,
L4,0603,1,22nH,
"Q1, Q2",SOT-23,2,2N7002,
"R1, R18, R25, R26, R30, R31, R32, R34",0603,8,10k,
"R10, R11, R15, R2, R20, R3, R4, R5, R8, R9",0603,10,100,
"R12, R13",0603,2,2k,
R14,0603,1,3k,
"R16, R7",0603,2,100K,
R17,0603,1,680K,
R19,0603,1,1M,
R21,0603,1,330K,
R22,0603,1,22,
"R27, R28, R29, R35, R36",0805,5,10k,
"R33, R37",0603,2,0R,
R6,0603,1,600,
"SW5, SW6",SW_SPST_CK_KMS2xxGP,2,SW_Push,
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U1,SOT-23-5,1,MIC5504-1.8YM5,
"U12, U14",SW-SMD_SIQ-02FVS3_1,2,SIQ-02FVS3,
U13,GC9A01_Touch_IPS_display_reversed_16pin,1,~,
U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME688,
U3,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,SI4684-A10-GM,
U4,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554PW,
U5,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,TPA6130A2RTJTR,  TPA6130A2RTJTR
U6,SOT-23-5,1,RT9013,
"U7, U8",TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,2,MAX98357AETE,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,S3219200071060,
